,Unnamed: 0,Data,Adj Close
1,1,Date,
2,2,2019-01-01,3.565070629119873
3,3,2019-02-01,3.825723648071289
4,4,2019-03-01,4.457766056060791
5,5,2019-04-01,4.493514537811279
6,6,2019-05-01,3.362936496734619
7,7,2019-06-01,4.0818352699279785
8,8,2019-07-01,4.193431377410889
9,9,2019-08-01,4.163358688354492
10,10,2019-09-01,4.330685615539551
11,11,2019-10-01,5.00117301940918
12,12,2019-11-01,5.392271995544434
13,13,2019-12-01,5.8583455085754395
14,14,2020-01-01,5.88647985458374
15,15,2020-02-01,6.724025249481201
16,16,2020-03-01,6.566866397857666
17,17,2020-04-01,7.281349182128906
18,18,2020-05-01,8.844341278076172
19,19,2020-06-01,9.464407920837402
20,20,2020-07-01,10.582313537597656
21,21,2020-08-01,13.33363151550293
22,22,2020-09-01,13.489154815673828
23,23,2020-10-01,12.499438285827637
24,24,2020-11-01,13.364544868469238
25,25,2020-12-01,13.019003868103027
26,26,2021-01-01,12.957758903503418
27,27,2021-02-01,13.680721282958984
28,28,2021-03-01,13.315375328063965
29,29,2021-04-01,14.977704048156738
30,30,2021-05-01,16.2100887298584
31,31,2021-06-01,19.960124969482422
32,32,2021-07-01,19.46215057373047
33,33,2021-08-01,22.342697143554688
34,34,2021-09-01,20.680498123168945
35,35,2021-10-01,25.523183822631836
36,36,2021-11-01,32.6199951171875
37,37,2021-12-01,29.360593795776367
38,38,2022-01-01,24.4470272064209
39,39,2022-02-01,24.346187591552734
40,40,2022-03-01,27.242570877075195
41,41,2022-04-01,18.5206356048584
42,42,2022-05-01,18.645458221435547
43,43,2022-06-01,15.137450218200684
44,44,2022-07-01,18.141014099121094
45,45,2022-08-01,15.07573127746582
46,46,2022-09-01,12.124308586120605
47,47,2022-10-01,13.48466968536377
48,48,2022-11-01,16.907541275024414
49,49,2022-12-01,14.60438346862793
50,50,2023-01-01,19.52414894104004
51,51,2023-02-01,23.20072364807129
52,52,2023-03-01,27.758726119995117
53,53,2023-04-01,27.73545265197754
54,54,2023-05-01,37.81552505493164
55,55,2023-06-01,42.28134536743164
56,56,2023-07-01,46.71101760864258
57,57,2023-08-01,49.33600616455078
58,58,2023-09-01,43.482261657714844
59,59,2023-10-01,40.76766586303711
60,60,2023-11-01,46.755855560302734
61,61,2023-12-01,49.507022857666016
