,Unnamed: 0.1,Unnamed: 0,Data,Adj Close,percentage_change,Monthly Return
0,1,1,Date,,,
1,2,2,2019-01-01,3.565070629119873,,
2,3,3,2019-02-01,3.825723648071289,0.07311300281749666,0.07311300281749666
3,4,4,2019-03-01,4.457766056060791,0.16520858957184248,0.16520858957184248
4,5,5,2019-04-01,4.493514537811279,0.008019371429751176,0.008019371429751176
5,6,6,2019-05-01,3.362936496734619,-0.25160217721858025,-0.25160217721858025
6,7,7,2019-06-01,4.0818352699279785,0.21377114134965192,0.21377114134965192
7,8,8,2019-07-01,4.193431377410889,0.02733968916018492,0.02733968916018492
8,9,9,2019-08-01,4.163358688354492,-0.007171379796123922,-0.007171379796123922
9,10,10,2019-09-01,4.330685615539551,0.040190370253972096,0.040190370253972096
10,11,11,2019-10-01,5.00117301940918,0.15482246078167328,0.15482246078167328
11,12,12,2019-11-01,5.392271995544434,0.07820144886358227,0.07820144886358227
12,13,13,2019-12-01,5.85834550857544,0.08643360598577332,0.08643360598577332
13,14,14,2020-01-01,5.88647985458374,0.00480243883996212,0.00480243883996212
14,15,15,2020-02-01,6.724025249481201,0.14228289497079882,0.14228289497079882
15,16,16,2020-03-01,6.566866397857666,-0.023372733711203852,-0.023372733711203852
16,17,17,2020-04-01,7.281349182128906,0.1088011756268299,0.1088011756268299
17,18,18,2020-05-01,8.844341278076172,0.21465693470427438,0.21465693470427438
18,19,19,2020-06-01,9.464407920837402,0.07010885528561461,0.07010885528561461
19,20,20,2020-07-01,10.582313537597656,0.11811680414778047,0.11811680414778047
20,21,21,2020-08-01,13.33363151550293,0.2599921055192873,0.2599921055192873
21,22,22,2020-09-01,13.489154815673828,0.011663986663353665,0.011663986663353665
22,23,23,2020-10-01,12.499438285827637,-0.07337127813939703,-0.07337127813939703
23,24,24,2020-11-01,13.364544868469238,0.06921163678390996,0.06921163678390996
24,25,25,2020-12-01,13.019003868103027,-0.02585505183804948,-0.02585505183804948
25,26,26,2021-01-01,12.957758903503418,-0.004704274245563522,-0.004704274245563522
26,27,27,2021-02-01,13.680721282958984,0.05579378230753296,0.05579378230753296
27,28,28,2021-03-01,13.315375328063965,-0.02670516761057784,-0.02670516761057784
28,29,29,2021-04-01,14.977704048156738,0.12484279857956304,0.12484279857956304
29,30,30,2021-05-01,16.2100887298584,0.08228128141264257,0.08228128141264257
30,31,31,2021-06-01,19.960124969482425,0.2313396491603772,0.2313396491603772
31,32,32,2021-07-01,19.46215057373047,-0.024948460819424922,-0.024948460819424922
32,33,33,2021-08-01,22.342697143554688,0.14800761914319538,0.14800761914319538
33,34,34,2021-09-01,20.680498123168945,-0.07439562957443768,-0.07439562957443768
34,35,35,2021-10-01,25.52318382263184,0.23416678218391151,0.23416678218391151
35,36,36,2021-11-01,32.6199951171875,0.27805352748597123,0.27805352748597123
36,37,37,2021-12-01,29.360593795776367,-0.09992034976405473,-0.09992034976405473
37,38,38,2022-01-01,24.4470272064209,-0.1673524256196175,-0.1673524256196175
38,39,39,2022-02-01,24.34618759155273,-0.0041248211496931475,-0.0041248211496931475
39,40,40,2022-03-01,27.242570877075195,0.11896660512578183,0.11896660512578183
40,41,41,2022-04-01,18.5206356048584,-0.32015830339846385,-0.32015830339846385
41,42,42,2022-05-01,18.645458221435547,0.006739650800343222,0.006739650800343222
42,43,43,2022-06-01,15.137450218200684,-0.18814276171566113,-0.18814276171566113
43,44,44,2022-07-01,18.141014099121094,0.198419406017867,0.198419406017867
44,45,45,2022-08-01,15.07573127746582,-0.16896976127722552,-0.16896976127722552
45,46,46,2022-09-01,12.124308586120604,-0.1957731029443861,-0.1957731029443861
46,47,47,2022-10-01,13.48466968536377,0.11220112797198589,0.11220112797198589
47,48,48,2022-11-01,16.907541275024414,0.25383429253560585,0.25383429253560585
48,49,49,2022-12-01,14.60438346862793,-0.1362207413208375,-0.1362207413208375
49,50,50,2023-01-01,19.52414894104004,0.33686909707488777,0.33686909707488777
50,51,51,2023-02-01,23.20072364807129,0.18830908933003676,0.18830908933003676
51,52,52,2023-03-01,27.75872611999512,0.19645949587881684,0.19645949587881684
52,53,53,2023-04-01,27.73545265197754,-0.0008384198870284854,-0.0008384198870284854
53,54,54,2023-05-01,37.81552505493164,0.36343637615863433,0.36343637615863433
54,55,55,2023-06-01,42.28134536743164,0.11809489108012783,0.11809489108012783
55,56,56,2023-07-01,46.71101760864258,0.10476658684146356,0.10476658684146356
56,57,57,2023-08-01,49.33600616455078,0.056196347035319505,0.056196347035319505
57,58,58,2023-09-01,43.48226165771485,-0.11865055487693688,-0.11865055487693688
58,59,59,2023-10-01,40.76766586303711,-0.06242995858970235,-0.06242995858970235
59,60,60,2023-11-01,46.755855560302734,0.1468857627852309,0.1468857627852309
60,61,61,2023-12-01,49.507022857666016,0.05884112833343402,0.05884112833343402
